id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
144738.0,2018-07-06,sexta-feira,03:15:00,SC,480,129.9,CHAPECO,Ingestão de Álcool,Colisão com objeto estático,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Sim,1,0,0,0,1,0,0,1,-27.05437235,-52.63642517,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
145037.0,2018-07-07,sábado,01:00:00,SC,282,406.3,CATANDUVAS,Ingestão de Álcool,Capotamento,Sem Vítimas,Plena Noite,Decrescente,Nublado,Simples,Reta,Não,1,0,0,0,0,1,0,1,-27.09550316,-51.65513992,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2018
145064.0,2018-07-07,sábado,09:15:00,SC,282,17.0,PALHOCA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,2,0,1,0,2,2,-27.665707,-48.688065,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
145277.0,2018-07-08,domingo,05:35:00,SC,282,489.3,FAXINAL DOS GUEDES,Ingestão de Álcool,Colisão frontal,Com Vítimas Fatais,Amanhecer,Decrescente,Nublado,Simples,Reta,Não,4,1,0,2,1,0,2,2,-26.8647737,-52.27142572,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
145280.0,2018-07-07,sábado,23:30:00,SC,282,504.9,XANXERE,Ingestão de Álcool,Colisão lateral,Sem Vítimas,Plena Noite,Decrescente,Nublado,Simples,Viaduto,Sim,2,0,0,0,2,0,0,2,-26.884279,-52.408466,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
145287.0,2018-07-08,domingo,08:50:00,SC,282,560.9,NOVA ITABERABA,Condutor Dormindo,Colisão frontal,Sem Vítimas,Pleno dia,Decrescente,Nevoeiro/Neblina,Simples,Curva;Declive,Não,2,0,0,0,2,0,0,2,-26.92771376,-52.85509586,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2018
145482.0,2018-07-09,segunda-feira,09:00:00,SC,282,2.8,FLORIANOPOLIS,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,2,0,0,0,2,0,0,2,-27.603289,-48.590416,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
145495.0,2018-07-09,segunda-feira,08:30:00,SC,282,364.0,ERVAL VELHO,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,1,0,1,0,0,0,1,1,-27.30218879,-51.39298526,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2018
145534.0,2018-07-09,segunda-feira,11:40:00,SC,282,338.0,CAMPOS NOVOS,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva,Não,4,0,2,1,1,0,3,2,-27.3924642,-51.17699862,SPRF-SC,DEL07-SC,UOP06-DEL07-SC,2018
145605.0,2018-07-09,segunda-feira,19:30:00,SC,282,216.0,LAGES,Falta de Atenção à Condução,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Rotatória,Sim,2,0,1,0,1,0,1,2,-27.7946536,-50.28398898,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2018
145687.0,2018-07-10,terça-feira,12:00:00,SC,282,18.0,PALHOCA,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,1,1,0,0,2,2,-27.672798,-48.694286,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
145716.0,2018-07-10,terça-feira,14:40:00,SC,282,16.0,PALHOCA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,-27.658611,-48.681847,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
145749.0,2018-07-10,terça-feira,13:00:00,SC,282,482.6,VARGEAO,Defeito Mecânico no Veículo,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Reta,Não,1,0,0,0,0,1,0,1,-26.86485027,-52.21342564,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
145836.0,2018-07-11,quarta-feira,07:45:00,SC,282,18.0,PALHOCA,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-27.672798,-48.694286,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
145837.0,2018-07-11,quarta-feira,08:20:00,SC,282,51.3,AGUAS MORNAS,Não guardar distância de segurança,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Simples,Curva,Não,3,0,0,0,3,0,0,3,-27.703712,-48.959267,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2018
