id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
"666001,0",2025-03-08,sábado,19:15:00,SC,470,"63,2",INDAIAL,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Aclive,Sim,5,0,0,0,5,0,0,3,-26.8720543,-49.19367671,SPRF-SC,DEL04-SC,UOP01-DEL04-SC,2025
"666007,0",2025-03-08,sábado,20:00:00,SC,280,"30,0",ARAQUARI,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Interseção de Vias,Sim,2,0,0,1,1,0,1,2,-26.44834528,-48.82746935,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2025
"666008,0",2025-03-08,sábado,20:15:00,SC,101,"122,0",ITAJAI,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-26.93562334,-48.6998713,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,2025
"666013,0",2025-03-08,sábado,21:15:00,SC,101,"205,0",SAO JOSE,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,1,0,0,1,0,0,1,1,-27.58289294,-48.61520821,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
"666025,0",2025-03-08,sábado,21:40:00,SC,101,"211,7",PALHOCA,Ingestão de álcool pelo condutor,Capotamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,3,0,0,1,2,0,1,1,-27.628272,-48.657152,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"666032,0",2025-03-08,sábado,22:15:00,SC,101,"335,3",TUBARAO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Rotatória;Viaduto,Não,2,0,1,0,1,0,1,2,-28.47632875,-49.03004386,SPRF-SC,DEL02-SC,UOP01-DEL02-SC,2025
"666033,0",2025-03-08,sábado,21:30:00,SC,280,"236,5",CANOINHAS,Velocidade Incompatível,Queda de ocupante de veículo,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Reta;Declive,Não,1,0,0,0,0,1,0,1,-26.2331478,-50.4748779,SPRF-SC,DEL06-SC,UOP04-DEL06-SC,2025
"666040,0",2025-03-08,sábado,22:10:00,SC,470,"68,5",INDAIAL,Acesso irregular,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Reta,Sim,4,0,2,0,2,0,2,2,-26.88075,-49.24359,SPRF-SC,DEL04-SC,UOP01-DEL04-SC,2025
"666077,0",2025-03-09,domingo,06:50:00,SC,101,"107,0",PENHA,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nevoeiro/Neblina,Dupla,Reta,Sim,1,0,0,1,0,0,1,1,-26.81507485,-48.68319685,SPRF-SC,DEL03-SC,UOP02-DEL03-SC,2025
"666087,0",2025-03-09,domingo,07:15:00,SC,101,"202,5",SAO JOSE,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,0,1,1,1,1,2,-27.56101,-48.61686,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
"666096,0",2025-03-09,domingo,07:30:00,SC,282,"18,5",PALHOCA,Ingestão de álcool pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-27.67508596,-48.69656498,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"666100,0",2025-03-09,domingo,07:15:00,SC,101,"266,1",PAULO LOPES,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,3,0,2,0,1,0,2,2,-28.0771183,-48.7125309,SPRF-SC,DEL02-SC,UOP03-DEL02-SC,2025
"666116,0",2025-03-05,quarta-feira,19:00:00,SC,282,"595,6",CUNHA PORA,Ingestão de álcool pelo condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,2,0,0,0,1,1,0,2,-26.81313452,-53.1666968,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2025
"666117,0",2025-03-09,domingo,07:30:00,SC,470,"5,6",NAVEGANTES,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,1,0,1,0,0,1,1,-26.85389,-48.70584,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,2025
"666118,0",2025-03-09,domingo,10:05:00,SC,101,"40,4",JOINVILLE,Velocidade Incompatível,Engavetamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,3,0,0,0,3,0,0,3,-26.3215226,-48.8701777,SPRF-SC,DEL03-SC,UOP01-DEL03-SC,2025
"666119,0",2025-03-09,domingo,09:30:00,SC,282,"129,6",BOM RETIRO,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,1,0,2,0,1,1,-27.80770199,-49.53303164,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2025
